100,2.267e+01,4.30
105,1.896e+01,4.34
110,1.599e+01,4.39
115,1.360e+01,4.45
120,1.164e+01,4.50
125,1.003e+01,4.56
130,8.701e+00,4.62
135,7.587e+00,4.68
140,6.650e+00,4.75
145,5.856e+00,4.82
150,5.181e+00,4.89
155,4.599e+00,4.95
160,4.097e+00,5.02
165,3.662e+00,5.09
170,3.284e+00,5.16
175,2.953e+00,5.23
180,2.664e+00,5.30
185,2.409e+00,5.38
190,2.184e+00,5.45
195,1.984e+00,5.53
200,1.807e+00,5.61
205,1.649e+00,5.67
210,1.508e+00,5.73
215,1.381e+00,5.79
220,1.268e+00,5.85
225,1.165e+00,5.91
230,1.073e+00,5.98
235,9.894e-01,6.04
240,9.137e-01,6.10
245,8.450e-01,6.16
250,7.825e-01,6.23
255,7.256e-01,6.28
260,6.736e-01,6.34
265,6.262e-01,6.40
270,5.827e-01,6.46
275,5.430e-01,6.52
280,5.063e-01,6.58
285,4.727e-01,6.64
290,4.418e-01,6.70
295,4.133e-01,6.76
300,3.869e-01,6.81
305,3.626e-01,6.87
310,3.401e-01,6.93
315,3.192e-01,6.98
320,2.999e-01,7.04
325,2.819e-01,7.10
330,2.653e-01,7.15
335,2.498e-01,7.21
340,2.354e-01,7.27
345,2.219e-01,7.32
350,2.094e-01,7.38
355,1.977e-01,7.43
360,1.868e-01,7.49
365,1.766e-01,7.55
370,1.670e-01,7.60
375,1.581e-01,7.65
380,1.497e-01,7.72
385,1.418e-01,7.77
390,1.344e-01,7.83
395,1.275e-01,7.89
400,1.210e-01,7.95
405,1.149e-01,8.02
410,1.091e-01,8.07
415,1.037e-01,8.12
420,9.859e-02,8.17
425,9.377e-02,8.25
430,8.923e-02,8.27
435,8.495e-02,8.32
440,8.089e-02,8.37
445,7.707e-02,8.42
450,7.344e-02,8.50
455,7.004e-02,8.52
460,6.680e-02,8.58
465,6.374e-02,8.63
470,6.084e-02,8.68
475,5.808e-02,8.69
480,5.549e-02,8.79
485,5.302e-02,8.84
490,5.068e-02,8.89
495,4.846e-02,8.95
500,4.635e-02,8.98
505,4.434e-02,9.05
510,4.243e-02,9.11
515,4.062e-02,9.16
520,3.890e-02,9.22
525,3.726e-02,9.31
530,3.570e-02,9.33
535,3.421e-02,9.38
540,3.280e-02,9.44
545,3.145e-02,9.49
550,3.017e-02,9.55
555,2.894e-02,9.60
560,2.777e-02,9.66
565,2.666e-02,9.72
570,2.559e-02,9.77
575,2.458e-02,9.77
580,2.361e-02,9.89
585,2.268e-02,9.94
590,2.180e-02,10.00
595,2.095e-02,10.06
600,2.014e-02,10.15
605,1.936e-02,10.15
610,1.862e-02,10.19
615,1.791e-02,10.22
620,1.723e-02,10.26
625,1.657e-02,10.27
630,1.596e-02,10.34
635,1.537e-02,10.38
640,1.479e-02,10.42
645,1.425e-02,10.46
650,1.373e-02,10.45
655,1.322e-02,10.54
660,1.274e-02,10.58
665,1.227e-02,10.62
670,1.183e-02,10.66
675,1.140e-02,10.70
680,1.099e-02,10.75
685,1.060e-02,10.79
690,1.022e-02,10.84
695,9.860e-03,10.88
700,9.510e-03,10.95
705,9.177e-03,10.97
710,8.855e-03,11.02
715,8.546e-03,11.06
720,8.248e-03,11.11
725,7.959e-03,11.12
730,7.687e-03,11.20
735,7.423e-03,11.25
740,7.168e-03,11.30
745,6.923e-03,11.34
750,6.694e-03,11.50
755,6.461e-03,11.44
760,6.242e-03,11.49
765,6.032e-03,11.54
770,5.829e-03,11.59
775,5.636e-03,11.61
780,5.447e-03,11.69
785,5.266e-03,11.74
790,5.091e-03,11.79
795,4.923e-03,11.84
800,4.758e-03,11.85
805,4.558e-03,11.81
810,4.417e-03,11.85
815,4.281e-03,11.89
820,4.148e-03,11.94
825,4.026e-03,11.88
830,3.896e-03,12.02
835,3.775e-03,12.07
840,3.658e-03,12.11
845,3.545e-03,12.16
850,3.420e-03,12.06
855,3.329e-03,12.24
860,3.226e-03,12.29
865,3.126e-03,12.33
870,3.029e-03,12.37
875,2.905e-03,12.61
880,2.844e-03,12.46
885,2.755e-03,12.51
890,2.670e-03,12.55
895,2.587e-03,12.60
900,2.497e-03,12.58
905,2.428e-03,12.68
910,2.353e-03,12.73
915,2.280e-03,12.77
920,2.209e-03,12.82
925,2.129e-03,12.59
930,2.073e-03,12.91
935,2.009e-03,12.95
940,1.946e-03,13.00
945,1.886e-03,13.04
950,1.816e-03,13.36
955,1.770e-03,13.13
960,1.715e-03,13.17
965,1.661e-03,13.22
970,1.609e-03,13.26
975,1.569e-03,13.87
980,1.510e-03,13.35
985,1.463e-03,13.40
990,1.417e-03,13.44
995,1.373e-03,13.49
1000,1.344e-03,13.07
1005,1.300e-03,13.36
1010,1.263e-03,13.38
1015,1.227e-03,13.41
1020,1.192e-03,13.43
1025,1.159e-03,13.43
1030,1.124e-03,13.47
1035,1.092e-03,13.49
1040,1.061e-03,13.51
1045,1.030e-03,13.54
1050,9.979e-04,13.34
1055,9.720e-04,13.58
1060,9.441e-04,13.60
1065,9.170e-04,13.62
1070,8.907e-04,13.64
1075,8.650e-04,13.60
1080,8.402e-04,13.69
1085,8.161e-04,13.71
1090,7.926e-04,13.73
1095,7.699e-04,13.75
1100,7.404e-04,14.48
1105,7.262e-04,13.79
1110,7.053e-04,13.82
1115,6.850e-04,13.84
1120,6.653e-04,13.86
1125,6.473e-04,14.17
1130,6.275e-04,13.90
1135,6.095e-04,13.92
1140,5.919e-04,13.94
1145,5.749e-04,13.96
1150,5.556e-04,14.91
1155,5.422e-04,14.01
1160,5.266e-04,14.03
1165,5.114e-04,14.05
1170,4.966e-04,14.07
1175,4.869e-04,13.24
1180,4.684e-04,14.11
1185,4.549e-04,14.13
1190,4.417e-04,14.15
1195,4.290e-04,14.18
1200,4.159e-04,13.93
1205,4.042e-04,14.18
1210,3.933e-04,14.22
1215,3.827e-04,14.25
1220,3.724e-04,14.28
1225,3.625e-04,15.50
1230,3.526e-04,14.35
1235,3.432e-04,14.38
1240,3.339e-04,14.41
1245,3.249e-04,14.44
1250,3.170e-04,14.67
1255,3.076e-04,14.51
1260,2.993e-04,14.54
1265,2.913e-04,14.57
1270,2.834e-04,14.60
1275,2.765e-04,15.56
1280,2.684e-04,14.67
1285,2.611e-04,14.70
1290,2.541e-04,14.73
1295,2.472e-04,14.77
1300,2.407e-04,14.10
1305,2.340e-04,14.83
1310,2.277e-04,14.86
1315,2.216e-04,14.89
1320,2.156e-04,14.93
1325,2.100e-04,13.73
1330,2.041e-04,14.99
1335,1.986e-04,15.02
1340,1.932e-04,15.05
1345,1.880e-04,15.09
1350,1.856e-04,16.69
1355,1.780e-04,15.15
1360,1.732e-04,15.18
1365,1.685e-04,15.21
1370,1.639e-04,15.25
1375,1.613e-04,14.32
1380,1.552e-04,15.31
1385,1.510e-04,15.34
1390,1.469e-04,15.37
1395,1.429e-04,15.41
1400,1.311e-04,14.41
1405,1.353e-04,15.47
1410,1.316e-04,15.50
1415,1.281e-04,15.53
1420,1.246e-04,15.56
1425,1.210e-04,15.21
1430,1.179e-04,15.63
1435,1.147e-04,15.66
1440,1.116e-04,15.69
1445,1.086e-04,15.72
1450,1.109e-04,15.65
1455,1.028e-04,15.79
1460,1.000e-04,15.82
1465,9.730e-05,15.85
1470,9.466e-05,15.88
1475,9.069e-05,16.92
1480,8.960e-05,15.94
1485,8.717e-05,15.97
1490,8.481e-05,16.01
1495,8.250e-05,16.04
1500,8.132e-05,17.23
